molregno,Compound ChEMBL ID,docid
1142395,CHEMBL1767353,[57279]
568416,CHEMBL572434,[48346]
462830,CHEMBL465760,[43298]
327188,CHEMBL373026,"[30101, 44049]"
214250,CHEMBL131169,[7627]
408236,CHEMBL248294,[37480]
710854,CHEMBL1271600,[53541]
1612927,CHEMBL3104841,[76489]
1840129,CHEMBL3416924,[91499]
104111,CHEMBL63485,[3881]
700538,CHEMBL1241320,[52757]
152021,CHEMBL330318,[13462]
176733,CHEMBL106785,[5175]
1736008,CHEMBL3237464,[82286]
1439715,CHEMBL2178915,[66666]
1075389,CHEMBL1685045,[55844]
302142,CHEMBL180098,[20906]
176269,CHEMBL105781,[15567]
1364327,CHEMBL2086672,"[64935, 84147]"
113037,CHEMBL71002,[12404]
357413,CHEMBL377457,[31679]
1058036,CHEMBL1643459,[54762]
272503,CHEMBL161936,[10897]
475617,CHEMBL480588,[45513]
1956239,CHEMBL3601345,[93077]
385082,CHEMBL387950,[36029]
372979,CHEMBL222936,[35274]
571569,CHEMBL565448,[48604]
67539,CHEMBL44944,[842]
1143394,CHEMBL1771087,[57398]
1829689,CHEMBL3397964,[91000]
1368348,CHEMBL2093889,"[10683, 10683]"
446784,CHEMBL511142,"[15615, 8143, 13667, 7783, 3565, 7734, 20472, 31428, 36720, 39273, 42543, 44874, 45005, 47604, 52157, 54149, 55596, 56111, 56112, -1, 59112, 59266, 59270, 59327, 66630, 70130, 72672, 72672, 75319, 77450, 82992, 82695, 83191, 83409, 83977, 92482, 93652, 100207, 100208]"
1527050,CHEMBL2337371,[72665]
347029,CHEMBL382909,[31083]
123753,CHEMBL76373,[4405]
173681,CHEMBL419002,[15563]
1064259,CHEMBL1651770,"[55243, 51887]"
1368491,CHEMBL2094032,[10682]
1270646,CHEMBL1933190,[60631]
226775,CHEMBL134308,[16239]
712230,CHEMBL1276265,"[53739, 72743, 75965]"
575267,CHEMBL571717,"[48588, 52178, 51887]"
368074,CHEMBL220960,[34953]
698137,CHEMBL1235787,"[65566, 99872]"
344804,CHEMBL205928,[30957]
1737390,CHEMBL3244793,[82665]
629407,CHEMBL1086814,[51085]
171923,CHEMBL320810,"[13495, 14623]"
480752,CHEMBL510182,[47224]
1175976,CHEMBL1829282,[59059]
288106,CHEMBL170767,[13800]
3584,CHEMBL8601,[13814]
1353629,CHEMBL2057873,[62654]
2092608,CHEMBL3822698,[99755]
191405,CHEMBL117611,[12066]
707580,CHEMBL1258569,[53121]
1493516,CHEMBL2286626,[70920]
1826072,CHEMBL3392121,[65475]
2069997,CHEMBL3765608,[98374]
117033,CHEMBL74345,"[4977, 5389]"
281054,CHEMBL435266,[10456]
169401,CHEMBL317429,[249]
415433,CHEMBL399275,"[37661, 37661, 37661]"
165067,CHEMBL102961,[11363]
1447875,CHEMBL2208223,[67085]
282954,CHEMBL354050,"[1589, 93988]"
621538,CHEMBL1092330,[50739]
125886,CHEMBL78774,[12424]
2028983,CHEMBL3695727,[94706]
141374,CHEMBL313473,[5043]
577578,CHEMBL585673,[49118]
31897,CHEMBL282744,[4217]
1834251,CHEMBL3404024,[91148]
1488248,CHEMBL2270940,[70589]
1385478,CHEMBL2113227,[31365]
645855,CHEMBL1163273,[51526]
1727084,CHEMBL3220682,"[81723, 81723]"
