molregno,Compound ChEMBL ID
1307742,CHEMBL1986451
1822824,CHEMBL3358663
1054073,CHEMBL1631456
518790,CHEMBL457041
1104104,CHEMBL1723373
1319710,CHEMBL1998419
1326195,CHEMBL2004904
1486208,CHEMBL2268920
5404,CHEMBL268291
1751056,CHEMBL3273048
89385,CHEMBL60628
217604,CHEMBL130387
1677704,CHEMBL3188413
293637,CHEMBL177726
146084,CHEMBL88271
1758632,CHEMBL3288098
674439,CHEMBL1200488
1724702,CHEMBL3218323
922074,CHEMBL1498190
2079126,CHEMBL3785296
110760,CHEMBL308011
1340837,CHEMBL2028581
2093549,CHEMBL3823387
486339,CHEMBL503309
1492503,CHEMBL2283503
697024,CHEMBL1234674
1323236,CHEMBL2001945
1673926,CHEMBL3184635
1324694,CHEMBL2003403
504672,CHEMBL456300
448468,CHEMBL458253
443348,CHEMBL196
503182,CHEMBL463088
1218213,CHEMBL1877642
1120576,CHEMBL1741690
190835,CHEMBL116574
903870,CHEMBL1479986
1476760,CHEMBL2252826
585274,CHEMBL584225
3725,CHEMBL8640
1676094,CHEMBL3186803
465049,CHEMBL463370
880776,CHEMBL1456892
1538126,CHEMBL2360937
642721,CHEMBL1161182
1377941,CHEMBL2105671
371596,CHEMBL375821
1613041,CHEMBL3104954
173293,CHEMBL104456
1296245,CHEMBL1974954
1965429,CHEMBL3621754
1376194,CHEMBL2103924
286152,CHEMBL174361
479832,CHEMBL444137
181233,CHEMBL321680
859203,CHEMBL1435319
629168,CHEMBL1087611
1828450,CHEMBL3394632
330435,CHEMBL194557
1271167,CHEMBL1933706
196880,CHEMBL121987
1677979,CHEMBL3188688
1224950,CHEMBL1884379
196797,CHEMBL334095
610051,CHEMBL606688
674876,CHEMBL1200925
1942891,CHEMBL3561140
427971,CHEMBL246368
1054120,CHEMBL1631491
128710,CHEMBL440623
1094175,CHEMBL1713444
1795476,CHEMBL3343324
479827,CHEMBL467901
422208,CHEMBL252909
1751384,CHEMBL3273373
1325114,CHEMBL2003823
413537,CHEMBL401182
250777,CHEMBL150457
674498,
1671757,CHEMBL3182466
81613,CHEMBL55078
502511,CHEMBL498258
465005,CHEMBL499678
442987,CHEMBL453011
3241,CHEMBL273883
1169598,CHEMBL1814554
289300,CHEMBL172545
1428697,CHEMBL2165262
489851,CHEMBL457027
51848,CHEMBL34179
1429817,CHEMBL2170334
1782378,CHEMBL3317740
262843,CHEMBL345249
510341,CHEMBL500047
1446463,CHEMBL2206825
2074727,CHEMBL3780053
1361309,CHEMBL2071152
371616,CHEMBL388075
1547886,CHEMBL2373435
238404,CHEMBL142556
1318764,CHEMBL1997473
501580,CHEMBL496034
1298612,CHEMBL1977321
9967,CHEMBL275298
908466,CHEMBL1484582
483419,CHEMBL490362
610420,CHEMBL1081231
960811,CHEMBL1536927
1591899,CHEMBL3039080
795937,CHEMBL1372053
342307,CHEMBL381779
35265,CHEMBL28283
1158065,CHEMBL1794734
1312267,CHEMBL1990976
1362660,CHEMBL2074850
1298148,CHEMBL1976857
650605,CHEMBL1173739
1314836,CHEMBL1993545
1306774,CHEMBL1985483
1469818,CHEMBL2234320
644831,CHEMBL1163162
176772,CHEMBL108095
1295674,CHEMBL1974383
1077518,CHEMBL1689106
1281620,CHEMBL1956102
544561,CHEMBL542601
1326954,CHEMBL2005663
515992,CHEMBL487369
674879,CHEMBL1200928
577,CHEMBL6678
1946155,CHEMBL3577842
593717,CHEMBL593716
258007,CHEMBL155528
1363165,CHEMBL2078935
1548607,CHEMBL2374156
1487567,CHEMBL2270266
1386448,CHEMBL2114057
1325098,CHEMBL2003807
1548762,CHEMBL2374311
191629,CHEMBL325653
1674979,CHEMBL3185688
191957,CHEMBL117189
1325794,CHEMBL2004503
26970,CHEMBL22060
273645,CHEMBL165911
413540,CHEMBL249477
85342,CHEMBL291675
415672,CHEMBL399906
315026,CHEMBL188415
642358,CHEMBL1160819
222646,CHEMBL135622
106377,CHEMBL69291
774370,CHEMBL1350486
317048,CHEMBL361240
1949315,CHEMBL3586099
1326480,CHEMBL2005189
1271163,CHEMBL1933702
36475,CHEMBL424033
1313914,CHEMBL1992623
1675766,CHEMBL3186475
482697,CHEMBL479905
1379324,CHEMBL2107054
522029,CHEMBL451329
1344607,CHEMBL2035086
463299,CHEMBL455866
1570947,CHEMBL2403347
442958,CHEMBL509849
1289684,CHEMBL1968393
643561,CHEMBL1162022
164090,CHEMBL101771
474301,CHEMBL480406
1791849,CHEMBL3335712
1675655,CHEMBL3186364
911235,CHEMBL1487351
9430,CHEMBL11597
643821,CHEMBL1162282
106946,CHEMBL66869
1887787,CHEMBL3471713
1217139,CHEMBL1876568
601211,CHEMBL590970
1291911,CHEMBL1970620
295609,CHEMBL177846
1755955,CHEMBL3277898
1671081,CHEMBL3181790
1488672,CHEMBL2271360
64910,CHEMBL44506
888584,CHEMBL1464700
21129,CHEMBL276366
462549,CHEMBL465750
756957,CHEMBL1333073
610424,CHEMBL1079651
312273,CHEMBL188668
1314881,CHEMBL1993590
448518,CHEMBL443408
1379180,
1078376,CHEMBL1689769
1402522,CHEMBL2130571
694190,CHEMBL1231840
1120882,CHEMBL1741996
99252,CHEMBL64659
331909,CHEMBL369985
1795645,CHEMBL3343491
119811,CHEMBL420199
202253,CHEMBL340338
223498,CHEMBL135670
454110,CHEMBL453901
1305345,CHEMBL1984054
1671953,CHEMBL3182662
1439383,CHEMBL2178587
364626,CHEMBL375600
891754,CHEMBL1467870
689776,CHEMBL1223331
1677210,CHEMBL3187919
307363,CHEMBL360616
119561,CHEMBL78097
195841,CHEMBL325709
1236507,CHEMBL1895936
273665,CHEMBL541713
816157,CHEMBL1392273
143792,CHEMBL88413
157869,CHEMBL99985
1082512,CHEMBL1701781
1328543,CHEMBL2007252
1243216,CHEMBL1902645
2081999,CHEMBL3798990
1143498,CHEMBL1771190
430701,CHEMBL406511
471666,CHEMBL457460
9580,CHEMBL12148
544003,CHEMBL542577
509396,CHEMBL500563
559663,CHEMBL561220
1306366,CHEMBL1985075
68599,CHEMBL296126
1383505,CHEMBL2111065
158259,CHEMBL317037
517486,CHEMBL470377
110186,CHEMBL67752
1578105,CHEMBL2419325
31225,CHEMBL280950
955856,CHEMBL1531972
1513208,CHEMBL2314144
97947,CHEMBL292046
1674520,CHEMBL3185229
1547780,CHEMBL2373329
1590070,CHEMBL2447922
992906,CHEMBL1569022
1346905,CHEMBL2037361
293950,CHEMBL175585
1323115,CHEMBL2001824
151608,CHEMBL319477
1303450,CHEMBL1982159
1332744,CHEMBL2011692
1632653,CHEMBL3143362
485201,CHEMBL489749
38556,CHEMBL30049
1059674,CHEMBL1644698
1355854,CHEMBL2062263
1852437,CHEMBL3436362
285931,CHEMBL171795
503122,CHEMBL465589
295799,CHEMBL177536
1386927,CHEMBL2114976
487794,CHEMBL448583
877192,CHEMBL1453308
1328397,CHEMBL2007106
609976,CHEMBL606968
641349,CHEMBL1159810
1120772,CHEMBL1741886
1404476,CHEMBL2132525
866887,CHEMBL1443003
48442,CHEMBL36365
1678117,CHEMBL3188826
1473850,CHEMBL2238312
195080,CHEMBL120098
275019,CHEMBL165959
36139,CHEMBL17061
201605,CHEMBL122282
16971,CHEMBL279816
398609,CHEMBL238189
1223256,CHEMBL1882685
1798878,CHEMBL3350271
1570904,CHEMBL2403304
1677522,CHEMBL3188231
874885,CHEMBL1451001
1061983,CHEMBL1650319
201158,CHEMBL122444
1753275,CHEMBL3275245
1487719,CHEMBL2270416
493102,CHEMBL490829
257144,CHEMBL348170
1418072,CHEMBL2146121
376862,CHEMBL389873
685374,CHEMBL1213530
2068895,CHEMBL3765517
1431857,CHEMBL2172354
386970,CHEMBL389575
1798993,CHEMBL3350386
1240130,CHEMBL1899559
61555,CHEMBL41873
1151917,CHEMBL1788253
13398,CHEMBL14253
504743,CHEMBL516314
240415,CHEMBL144762
26985,CHEMBL21325
295525,CHEMBL177591
698679,CHEMBL1236329
942087,CHEMBL1518203
1263531,CHEMBL1916078
1054121,CHEMBL1631492
563355,CHEMBL553342
651760,CHEMBL1169509
1287992,CHEMBL1966701
9651,CHEMBL274139
199025,CHEMBL120373
1675477,CHEMBL3186186
1283807,CHEMBL1958267
1487565,CHEMBL2270264
1473844,CHEMBL2238306
278739,CHEMBL166736
1242545,CHEMBL1901974
1314442,CHEMBL1993151
9421,CHEMBL11855
181177,CHEMBL325783
1672654,CHEMBL3183363
868705,CHEMBL1444821
868534,CHEMBL1444650
1494549,CHEMBL2287649
1568641,CHEMBL2398123
487719,CHEMBL449486
420399,CHEMBL401649
72822,CHEMBL50431
1376572,CHEMBL2104302
325356,CHEMBL195540
489702,CHEMBL506259
1429828,CHEMBL2170345
49789,CHEMBL34489
1288336,CHEMBL1967045
1322799,CHEMBL2001508
1307684,CHEMBL1986393
1299446,CHEMBL1978155
482874,CHEMBL511824
217556,CHEMBL134177
1325731,CHEMBL2004440
1701165,CHEMBL3211874
995242,CHEMBL1571358
1926683,CHEMBL3544834
990904,CHEMBL1567020
434437,CHEMBL271923
617970,CHEMBL1077665
1674534,CHEMBL3185243
1286892,CHEMBL1965601
150989,CHEMBL1100
1297774,CHEMBL1976483
371624,CHEMBL221823
1584255,CHEMBL2435119
1798840,CHEMBL3350233
1675407,CHEMBL3186116
26777,CHEMBL22646
1320381,CHEMBL1999090
1070669,CHEMBL1673092
18610,CHEMBL280268
1753508,CHEMBL3275475
304304,CHEMBL1352
1620727,CHEMBL3121406
566801,CHEMBL556671
9300,CHEMBL11723
202570,CHEMBL124507
1292849,CHEMBL1971558
462250,CHEMBL490324
484432,CHEMBL490168
999896,CHEMBL1576012
193228,CHEMBL118278
1355929,CHEMBL2062338
431173,CHEMBL259687
1729407,CHEMBL3228777
794498,CHEMBL1370614
1304479,CHEMBL1983188
1674067,CHEMBL3184776
888154,CHEMBL1464270
1924503,CHEMBL3526802
1326772,CHEMBL2005481
1738894,CHEMBL3246282
1671094,CHEMBL3181803
1379661,CHEMBL2107391
1582336,CHEMBL2430291
1728440,CHEMBL3222024
333519,CHEMBL370643
705486,CHEMBL1256499
1248647,CHEMBL1908221
1541949,CHEMBL2367498
1674763,CHEMBL3185472
1488432,CHEMBL2271122
1310343,CHEMBL1989052
1603614,CHEMBL3086149
546158,CHEMBL554676
631256,CHEMBL1086066
626065,CHEMBL1097727
1324624,CHEMBL2003333
1307350,CHEMBL1986059
443279,CHEMBL513801
151669,CHEMBL329166
1440531,CHEMBL2179723
418941,CHEMBL398629
421018,CHEMBL400716
1487390,CHEMBL2270091
459866,CHEMBL508626
73232,CHEMBL49687
407391,CHEMBL240306
554841,CHEMBL554386
1592144,CHEMBL3039322
406206,CHEMBL239661
1672302,CHEMBL3183011
425602,CHEMBL256971
2038665,CHEMBL3706659
1748462,CHEMBL3263483
500669,CHEMBL483890
1370034,CHEMBL2097081
2077651,CHEMBL3786312
837670,CHEMBL1413786
1304320,CHEMBL1983029
631203,CHEMBL1085707
1285615,CHEMBL1964324
68967,CHEMBL47723
587641,CHEMBL602374
16832,CHEMBL277500
1447277,CHEMBL2207631
1603991,CHEMBL3086523
1946153,CHEMBL3577840
307999,CHEMBL185198
642035,CHEMBL1160496
1817050,CHEMBL3352947
331389,CHEMBL197577
1143701,CHEMBL1771390
1115015,CHEMBL1734284
1328314,CHEMBL2007023
1304005,CHEMBL1982714
750112,CHEMBL1326228
224529,CHEMBL133365
594646,CHEMBL595265
1795986,CHEMBL3343829
1823412,CHEMBL3359245
231118,CHEMBL343964
551060,CHEMBL553634
207512,CHEMBL421663
1838560,CHEMBL3415371
1675899,CHEMBL3186608
176496,CHEMBL447832
1299948,CHEMBL1978657
1326687,CHEMBL2005396
36268,CHEMBL435757
443832,CHEMBL520720
1674438,CHEMBL3185147
522452,CHEMBL496858
150556,CHEMBL93046
255119,CHEMBL152377
1614843,CHEMBL3109641
1823849,CHEMBL3359678
205714,CHEMBL125756
1980122,CHEMBL3647354
1494553,CHEMBL2287653
875882,CHEMBL1451998
1547879,CHEMBL2373428
1299431,CHEMBL1978140
1671600,CHEMBL3182309
1674031,CHEMBL3184740
1312582,CHEMBL1991291
443192,CHEMBL465021
1300322,CHEMBL1979031
444080,CHEMBL454176
2058846,CHEMBL3753171
693319,CHEMBL1230969
192659,CHEMBL117062
367930,CHEMBL221433
588194,CHEMBL582062
451847,CHEMBL471471
224730,CHEMBL424461
1307126,CHEMBL1985835
448245,CHEMBL501124
628431,CHEMBL1098677
521361,CHEMBL448089
13451,CHEMBL14021
1565898,CHEMBL2392318
988261,CHEMBL1564377
1064915,CHEMBL1652037
1677221,CHEMBL3187930
81563,CHEMBL53493
191269,CHEMBL117012
1357864,CHEMBL2064456
1063284,CHEMBL1651097
1571354,CHEMBL2403750
181141,CHEMBL322044
257001,CHEMBL154035
1107225,CHEMBL1726494
787273,CHEMBL1363389
1307621,CHEMBL1986330
